Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
Reyli Barba,"1,043,098,140","999,265,003","811,023,422","43,833,137","415,294","401,637","344,621","13,657",96,81,60,15
Toploader,"1,043,272,305","1,043,272,305","1,043,082,333",0,"591,795","591,795","591,608",0,30,30,29,0
Kristen Bell,"1,043,305,358","990,858,512",0,"52,446,846","469,837","454,763",0,"15,074",9,5,0,4
Simba La Rue,"1,043,708,478","649,573,420","105,907,974","394,135,058","1,721,682","1,306,795","89,234","414,887",69,46,8,23
The Proclaimers,"1,043,887,161","1,043,887,161","1,043,483,004",0,"348,369","348,369","348,305",0,117,117,116,0
Bnxn,"1,044,423,366","430,609,268","263,198,688","613,814,098","1,338,606","694,668","405,972","643,938",96,52,36,44
Jagged Edge,"1,044,776,248","719,486,979","372,225,047","325,289,269","295,116","192,562","92,645","102,554",195,173,146,22
Harris & Ford,"1,044,993,331","506,311,355","61,831,483","538,681,976","528,326","255,801","33,779","272,525",154,89,15,65
In This Moment,"1,045,019,423","1,034,448,749","933,762,093","10,570,674","290,200","286,771","253,976","3,429",131,130,124,1
Krewella,"1,045,102,195","817,746,292","584,047,742","227,355,903","116,433","91,215","66,505","25,218",150,121,52,29
Redimi2,"1,045,198,647","671,326,913","177,553,101","373,871,734","534,290","315,879","70,245","218,411",264,212,115,52
Phillip Phillips,"1,045,568,440","1,022,819,956","1,021,862,729","22,748,484","345,718","341,779","341,404","3,939",64,59,58,5
Bad Religion,"1,045,669,214","1,045,669,214","1,045,669,214",0,"325,652","325,652","325,652",0,322,322,322,0
Slimane,"1,045,752,735","486,934,080","419,887,326","558,818,655","500,751","305,443","276,882","195,308",103,65,52,38
Marcela Gandara,"1,045,806,858","847,648,714","580,684,363","198,158,144","814,849","711,719","502,089","103,130",60,47,39,13
La Roux,"1,046,036,969","936,220,316","630,516,811","109,816,653","499,984","463,146","236,814","36,838",71,65,38,6
Tream,"1,046,344,016","931,808,766","12,427,369","114,535,250","1,127,198","996,493","7,973","130,705",151,141,19,10
Lucky Brown,"1,046,403,496","637,222,467","15,328,105","409,181,029","1,858,624","1,405,418","7,773","453,206",61,34,2,27
Escape the Fate,"1,046,543,786","1,036,603,124","1,005,683,912","9,940,662","367,062","344,838","333,017","22,224",135,127,118,8
Marama,"1,048,141,417","917,935,035","578,874,265","130,206,382","596,690","382,291","187,976","214,399",55,43,26,12
