Artist,Total_Streams,As_Lead,Solo,As_Feature,Daily_Streams,Daily_As_Lead,Daily_As_Feature,Tracks,Tracks_As_Lead,Tracks_Solo,Tracks_As_Feature
BK,"1,498,674,522","827,443,026","9,089,405","671,231,496","1,246,179","836,877","3,116","409,302",139,79,3,60
Michael Kiwanuka,"1,502,710,380","1,485,538,823","1,414,145,235","17,171,557","1,041,989","1,031,684","1,005,841","10,305",91,88,81,3
The Cardigans,"1,503,233,095","1,480,340,557","1,468,361,247","22,892,538","1,114,776","1,106,881","1,100,490","7,895",101,100,96,1
Bipolar Sunshine,"1,503,666,016","77,902,743","56,020,836","1,425,763,273","290,741","6,011","3,899","284,730",89,33,23,56
Gilberto Santa Rosa,"1,503,495,172","1,302,450,510","1,238,465,414","201,044,662","829,618","747,254","724,451","82,364",368,294,234,74
CamelPhat,"1,504,442,956","1,216,224,774","82,183,818","288,218,182","539,836","453,505","17,718","86,331",213,168,47,45
Bhavi,"1,504,998,014","781,947,260","119,355,214","723,050,754","959,326","422,112","39,733","537,214",121,72,39,49
Amaal Mallik,"1,509,024,353","990,571,537","22,337,746","518,452,816","1,681,310","1,357,819","14,312","323,491",98,47,6,51
George Henrique & Rodrigo,"1,509,675,859","1,436,946,418","741,408,991","72,729,441","856,520","827,888","476,691","28,632",133,125,109,8
Axwell,"1,514,484,433","378,535,663","125,363,833","1,135,948,770","483,488","76,035","15,749","407,453",113,69,14,44
Killswitch Engage,"1,511,931,365","1,404,319,636","1,364,861,330","107,611,729","471,631","428,938","418,084","42,693",149,147,144,2
Shekhar Ravjiani,"1,517,924,471","46,550,606","29,635,325","1,471,373,865","1,217,033","35,741","26,429","1,181,292",96,40,9,56
Lil' Kim,"1,518,621,021","431,121,109","299,055,163","1,087,499,912","539,896","107,842","74,860","432,054",147,98,60,49
Lijpe,"1,518,402,906","1,042,780,972","752,915,205","475,621,934","594,527","400,556","233,021","193,971",247,165,124,82
Josylvio,"1,519,415,287","1,066,659,845","465,987,232","452,755,442","294,879","179,817","68,193","115,062",199,139,60,60
Perera DJ,"1,519,387,394","110,916,760",0,"1,408,470,634","819,148","69,626",0,"749,522",101,14,0,87
Parampara Tandon,"1,521,512,669","20,567,353","4,081,537","1,500,945,316","2,683,506","46,731","3,489","2,636,775",70,6,4,64
Panteon Rococo,"1,523,078,866","1,456,267,940","1,161,584,473","66,810,926","533,615","497,253","405,730","36,362",159,145,120,14
Miksu / Macloud,"1,523,631,820","816,042,456","105,940","707,589,364","845,841","295,983",33,"549,858",78,29,1,49
TobyMac,"1,524,513,580","1,104,539,780","693,757,536","419,973,800","624,823","469,919","287,945","154,904",256,248,148,8
Ray LaMontagne,"1,525,639,453","1,525,639,453","1,384,023,838",0,"549,169","549,169","452,952",0,118,118,97,0
Third Eye Blind,"1,525,893,134","1,525,893,134","1,524,074,452",0,"520,162","520,162","519,913",0,154,154,152,0
Comethazine,"1,525,922,832","1,524,134,010","1,372,768,378","1,788,822","188,707","188,205","172,049",502,115,111,107,4
Auli'i Cravalho,"1,526,142,962","1,014,730,648","26,926,602","511,412,314","1,409,160","1,052,065","9,028","357,095",27,19,4,8
K CAMP,"1,526,751,327","1,243,301,435","866,253,981","283,449,892","235,755","201,599","136,965","34,156",298,238,146,60
112,"1,527,450,700","739,249,350","534,718,252","788,201,350","610,188","272,301","189,997","337,887",133,122,96,11
Gipsy Kings,"1,527,829,739","1,266,445,937","1,248,061,645","261,383,802","646,140","552,949","546,846","93,191",234,227,221,7
Kaaris,"1,528,584,211","1,293,927,775","959,531,490","234,656,436","789,315","639,129","467,817","150,186",234,201,155,33
CAPO,"1,527,945,750","891,123,403","502,450,990","636,822,347","537,184","279,261","156,505","257,923",145,101,59,44
Lucas & Steve,"1,528,682,590","1,013,520,429","411,192,748","515,162,161","263,672","131,454","35,451","132,218",136,92,34,44
Lagum,"1,531,197,826","1,430,926,018","926,491,284","100,271,808","538,523","480,245","355,381","58,278",106,99,87,7
Vicetone,"1,531,601,793","1,437,851,532","289,790,915","93,750,261","408,983","402,919","102,775","6,064",114,97,37,17
Mariah Angeliq,"1,531,766,115","297,342,180","141,517,048","1,234,423,935","366,798","45,649","22,134","321,149",73,29,17,44
Staind,"1,533,960,874","1,533,960,874","1,533,960,874",0,"864,051","864,051","864,051",0,125,125,125,0
Payal Dev,"1,535,169,669","766,694,492","1,340,121","768,475,177","1,249,547","536,718",682,"712,829",131,61,2,70
Tribo da Periferia,"1,536,807,960","1,495,409,725",0,"41,398,235","988,234","951,608",0,"36,626",159,152,0,7
CeeLo Green,"1,536,690,442","964,772,634","824,793,028","571,917,808","525,093","295,849","222,745","229,244",205,130,100,75
Fito y Fitipaldis,"1,537,531,633","1,426,383,056","1,369,495,494","111,148,577","589,044","543,916","526,718","45,128",171,149,117,22
GAYLE,"1,539,229,036","1,494,023,658","1,470,309,720","45,205,378","342,140","315,751","311,609","26,389",38,35,28,3
K. S. Chithra,"1,537,950,672","303,359,784","143,917,468","1,234,590,888","1,649,938","341,903","164,832","1,308,035",671,184,142,487
Elle King,"1,541,123,862","1,198,581,275","939,176,293","342,542,587","377,457","323,993","241,556","53,464",76,62,54,14
Di Propósito,"1,540,115,436","789,627,712","392,933,737","750,487,724","937,952","490,826","208,539","447,126",134,96,63,38
Siddhartha,"1,541,322,081","1,526,636,351","1,327,172,994","14,685,730","990,182","977,739","855,060","12,443",94,93,86,1
Eve,"1,543,087,979","1,534,739,672","1,450,995,962","8,348,307","806,829","801,088","763,258","5,741",124,123,100,1
Mecano,"1,544,077,034","1,544,077,034","1,544,077,034",0,"1,000,140","1,000,140","1,000,140",0,111,111,111,0
Alphaville,"1,544,167,892","1,480,982,275","1,455,307,742","63,185,617","1,877,123","1,149,370","1,136,547","727,753",149,143,114,6
Shouse,"1,544,736,583","1,539,780,814","767,614,451","4,955,769","602,157","527,439","206,572","74,718",42,36,9,6
Jasiel Nuñez,"1,545,368,336","361,185,799","100,748,981","1,184,182,537","2,427,428","1,226,460","229,480","1,200,968",56,46,34,10
Los Acosta,"1,544,994,680","1,371,367,222","1,371,367,222","173,627,458","1,120,478","1,015,675","1,015,675","104,803",209,198,198,11
Snøw,"1,547,326,013","164,856,393","56,160,314","1,382,469,620","370,590","26,797","10,994","343,793",98,51,20,47
Duman,"1,547,443,358","1,547,443,358","1,547,443,358",0,"1,347,123","1,347,123","1,347,123",0,143,143,143,0
Royal Blood,"1,547,797,383","1,539,479,581","1,530,938,463","8,317,802","359,306","357,508","355,453","1,798",62,61,58,1
Fernandinho,"1,548,893,456","1,393,397,820","1,141,233,497","155,495,636","1,249,113","1,147,039","896,336","102,074",311,289,230,22
MC Tuto,"1,548,969,867","556,981,092","1,428,017","991,988,775","8,880,710","4,411,296","1,794","4,469,414",145,51,2,94
Lil Xan,"1,550,298,610","1,295,890,480","1,050,536,304","254,408,130","145,407","114,469","101,114","30,938",84,51,34,33
Little Big Town,"1,551,275,460","1,397,243,855","1,378,215,080","154,031,605","330,773","312,577","305,302","18,196",147,138,132,9
Darkiel,"1,551,610,657","371,367,016","208,141,440","1,180,243,641","879,479","145,050","97,871","734,429",151,88,56,63
Plain White T's,"1,551,941,642","1,551,941,642","1,550,049,736",0,"458,350","458,350","454,000",0,116,116,114,0
shy martin,"1,553,479,134","551,712,902","519,379,959","1,001,766,232","176,448","70,772","67,221","105,676",37,26,24,11
Famous Dex,"1,552,529,855","1,423,052,484","630,205,471","129,477,371","145,763","128,017","56,298","17,746",143,118,64,25
Massive Attack,"1,554,599,204","1,535,771,122","147,823,715","18,828,082","7,827,176","7,823,686","2,502,324","3,490",182,175,49,7
Vasco Rossi,"1,554,480,966","1,550,184,500","1,534,161,733","4,296,466","692,542","691,392","683,832","1,150",488,487,483,1
reezy,"1,554,989,896","1,156,204,253","832,735,055","398,785,643","1,967,550","1,562,615","1,416,586","404,935",146,103,82,43
Rashmi Virag,"1,555,105,098","30,976,645",0,"1,524,128,453","1,155,149","9,847",0,"1,145,302",99,7,0,92
Pancho Barraza,"1,559,637,485","1,402,732,759","923,415,427","156,904,726","927,058","853,678","617,860","73,380",347,311,257,36
Los Dareyes De La Sierra,"1,559,894,319","344,787,964","263,726,215","1,215,106,355","1,628,136","196,260","90,998","1,431,876",247,209,193,38
Tony Bennett,"1,561,966,267","1,506,276,418","644,897,549","55,689,849","297,994","280,883","112,897","17,111",403,386,214,17
MC Marks,"1,563,354,120","745,767,471","240,770,718","817,586,649","2,573,644","1,322,508","120,790","1,251,136",198,103,35,95
Xzibit,"1,562,788,652","553,898,145","299,286,759","1,008,890,507","620,232","129,254","69,787","490,978",170,141,72,29
Yeah Yeah Yeahs,"1,565,720,220","1,565,720,220","1,051,106,928",0,"1,046,752","1,046,752","683,273",0,119,119,105,0
Josh Turner,"1,565,950,002","1,554,004,386","1,492,777,243","11,945,616","613,161","610,123","584,852","3,038",122,120,99,2
Grateful Dead,"1,419,280,539","1,414,517,248","1,379,820,275","4,763,291","1,068,170","1,066,359","1,007,573","1,811",886,879,839,7
Yann Tiersen,"1,566,525,545","1,565,965,587","1,516,849,194","559,958","546,892","546,852","536,044",40,308,307,252,1
Mc Poze do Rodo,"1,567,381,910","741,470,981","40,050,729","825,910,929","763,531","274,305","12,413","489,226",52,28,5,24
NEEDTOBREATHE,"1,569,764,210","1,520,034,911","1,239,270,384","49,729,299","363,601","322,717","246,414","40,884",261,255,226,6
GloRilla,"1,570,410,922","1,103,125,816","506,066,616","467,285,106","5,593,363","2,890,484","1,199,923","2,702,879",87,65,30,22
Rich Music LTD,"1,570,687,837","1,570,687,837",0,0,"478,904","478,904",0,0,10,10,0,0
Vald,"1,570,233,110","1,225,715,036","997,563,812","344,518,074","327,604","265,238","215,179","62,366",198,170,136,28
Rob Zombie,"1,571,006,717","1,564,762,418","1,490,814,660","6,244,299","926,786","922,876","887,855","3,910",161,157,138,4
Aqua,"1,573,442,430","1,049,163,066","1,006,554,240","524,279,364","652,769","491,542","456,503","161,227",69,64,55,5
Nikhita Gandhi,"1,574,478,740","45,706,686","8,156,692","1,528,772,054","1,152,095","49,701","5,156","1,102,394",129,35,11,94
Sub Urban,"1,575,843,764","1,548,245,763","945,682,016","27,598,001","672,630","668,137","344,524","4,493",22,21,15,1
Destroy Lonely,"1,576,795,350","1,287,979,398","1,181,849,889","288,815,952","1,972,132","1,635,278","1,464,782","336,854",156,145,132,11
Dewa 19,"1,577,543,396","1,495,914,525","1,276,680,823","81,628,871","1,368,690","1,315,143","1,112,081","53,547",137,133,72,4
LEA,"1,578,024,891","1,215,530,319","794,504,420","362,494,572","491,625","395,265","256,823","96,360",158,148,115,10
Run–D.M.C.,"1,576,798,886","1,576,535,826","586,978,463","263,060","566,022","565,962","204,960",60,115,113,87,2
MC GP,"1,579,203,025","502,357,292","76,715,600","1,076,845,733","2,166,777","1,016,327","59,884","1,150,450",247,84,9,163
Skank,"1,579,296,004","1,579,296,004","1,468,155,159",0,"827,225","827,225","775,809",0,235,235,217,0
Lifehouse,"1,579,895,585","1,579,895,585","1,522,021,101",0,"575,590","575,590","566,791",0,110,110,107,0
A Great Big World,"1,579,909,839","1,556,630,787","380,590,467","23,279,052","228,085","225,621","34,691","2,464",60,55,50,5
A R I Z O N A,"1,580,238,678","1,353,640,695","1,038,844,057","226,597,983","147,713","125,101","96,725","22,612",86,77,45,9
El Cuarteto De Nos,"1,580,400,185","1,580,400,185","1,580,400,185",0,"1,088,753","1,088,753","1,088,753",0,206,206,206,0
1nonly,"1,584,353,287","1,491,423,927","766,448,585","92,929,360","855,876","807,013","424,904","48,863",51,40,22,11
Slayer,"1,580,618,268","1,580,618,268","1,576,930,240",0,"707,475","707,475","705,874",0,229,229,227,0
Jawsh 685,"1,581,244,563","1,578,153,740","62,562,710","3,090,823","224,337","214,347","4,664","9,990",8,6,1,2
DAY6,"1,584,840,569","1,584,840,569","1,584,840,569",0,"1,056,446","1,056,446","1,056,446",0,121,121,121,0
MAMAMOO,"1,585,661,243","1,584,112,861","1,547,668,231","1,548,382","279,759","279,484","274,429",275,165,163,154,2
Bone Thugs-N-Harmony,"1,584,937,011","1,433,132,575","1,025,798,963","151,804,436","597,467","554,220","405,660","43,247",363,321,229,42
The Piano Guys,"1,585,776,666","1,479,057,707","1,263,246,722","106,718,959","385,078","367,372","315,601","17,706",199,179,155,20
BANNERS,"1,585,949,819","1,573,520,059","1,527,769,199","12,429,760","547,918","544,568","534,606","3,350",74,71,60,3
Remmy Valenzuela,"1,585,960,409","1,530,073,101","1,527,971,652","55,887,308","1,425,296","1,364,203","1,361,577","61,093",150,133,130,17
EDEN,"1,586,238,978","1,579,809,309","1,464,649,239","6,429,669","246,692","245,441","228,865","1,251",73,71,68,2
Neto Peña,"1,586,066,455","600,484,851","247,946,353","985,581,604","725,415","306,825","145,867","418,590",198,109,66,89
Dylan Scott,"1,587,277,108","1,587,277,108","1,496,903,126",0,"1,071,656","1,071,656","987,190",0,90,90,84,0
Chase & Status,"1,587,418,001","1,393,435,440","129,458,397","193,982,561","1,310,016","1,107,600","50,900","202,416",204,192,40,12
Wolfgang Amadeus Mozart,"1,585,723,618","1,569,826,874",0,"15,896,744","876,373","871,937",0,"4,436","1,027","1,009",0,18
Brandy,"1,588,601,644","1,290,151,339","656,103,442","298,450,305","739,795","613,676","281,634","126,119",191,156,125,35
Fito Paez,"1,589,782,746","1,521,197,076","1,363,049,318","68,585,670","854,949","824,364","752,169","30,585",433,415,336,18
BlocBoy JB,"1,589,857,296","1,271,235,658","124,020,733","318,621,638","145,548","125,627","8,707","19,921",116,101,80,15
Marisela,"1,590,066,071","1,563,272,638","1,560,002,196","26,793,433","1,336,711","1,311,982","1,310,660","24,729",177,174,173,3
Lloyd,"1,592,001,348","946,954,551","394,309,512","645,046,797","1,049,407","784,455","265,407","264,952",119,86,51,33
Delacruz,"1,592,632,068","772,006,060","178,359,624","820,626,008","1,207,210","699,334","143,388","507,876",86,50,12,36
Hov1,"1,592,720,106","1,592,720,106","1,322,739,421",0,"490,531","490,531","382,208",0,89,89,81,0
James Morrison,"1,593,859,700","1,548,238,528","1,134,712,071","45,621,172","472,774","467,677","322,480","5,097",125,122,117,3
Sam Fender,"1,594,467,561","1,519,708,121","1,488,609,729","74,759,440","1,416,104","1,321,117","1,307,598","94,987",85,84,79,1
Arthur Nery,"1,597,151,120","1,470,937,841","1,261,533,837","126,213,279","1,924,900","1,836,808","1,650,376","88,092",28,26,18,2
Mabel Matiz,"1,598,235,986","1,399,212,383","1,271,061,927","199,023,603","1,051,269","983,009","907,698","68,260",107,103,88,4
Gavin DeGraw,"1,599,320,544","1,357,288,704","1,356,230,893","242,031,840","260,361","214,358","214,318","46,003",140,131,130,9
Lauren Alaina,"1,599,600,243","495,381,528","384,607,861","1,104,218,715","480,619","66,788","45,760","413,831",89,75,70,14
Patricio Rey y sus Redonditos de Ricota,"1,599,636,136","1,599,636,136","1,599,636,136",0,"949,952","949,952","949,952",0,116,116,116,0
Nicky Romero,"1,599,765,262","697,196,378","234,650,654","902,568,884","259,238","90,776","27,459","168,462",251,169,52,82
Guru Randhawa,"1,600,150,866","1,546,853,916","375,570,713","53,296,950","1,058,665","1,024,538","329,376","34,127",112,96,27,16
Tokischa,"1,601,428,960","600,689,067","20,264,553","1,000,739,893","1,572,357","389,085","21,269","1,183,272",63,25,5,38
Fiersa Besari,"1,603,166,556","1,036,416,884","797,731,344","566,749,672","1,147,498","483,856","343,612","663,642",79,73,65,6
Irama,"1,604,075,912","1,467,674,580","1,106,592,098","136,401,332","356,484","325,809","249,452","30,675",79,75,50,4
Jão,"1,604,383,089","1,478,295,393","1,368,620,097","126,087,696","605,890","574,917","520,089","30,973",99,89,78,10
Billy Talent,"1,605,009,506","1,605,009,506","1,589,956,381",0,"491,632","491,632","486,985",0,145,145,144,0
TIAGO IORC,"1,605,437,107","1,241,652,925","1,081,490,384","363,784,182","402,418","290,094","210,702","112,324",140,134,119,6
Grupo Revelação,"1,605,724,404","1,482,679,584","1,374,909,970","123,044,820","1,415,411","1,341,479","1,295,514","73,932",323,277,239,46
Leto,"1,606,333,763","1,065,691,733","495,332,487","540,642,030","887,292","661,779","409,310","225,513",239,160,100,79
María José,"1,606,556,684","1,409,543,686","1,085,027,611","197,012,998","866,182","722,152","604,707","144,030",133,113,87,20
Fleet Foxes,"1,608,098,309","1,559,355,369","1,557,188,304","48,742,940","549,282","534,697","531,670","14,585",103,102,100,1
Mr Eazi,"1,608,680,325","551,275,155","179,765,646","1,057,405,170","308,116","95,618","39,059","212,498",170,85,34,85
Devi Sri Prasad,"1,608,413,860","1,285,185,614","145,569,977","323,228,246","3,343,975","1,374,993","154,180","1,968,982",241,175,58,66
MONSTA X,"1,611,552,169","1,548,177,626","1,409,283,512","63,374,543","265,222","257,988","238,043","7,234",196,188,179,8
Dhanush,"1,613,102,529","497,498,987","45,423,289","1,115,603,542","1,255,470","317,152","24,655","938,318",71,16,3,55
K.I.Z,"1,613,260,344","1,496,352,553","1,178,403,925","116,907,791","568,212","509,897","408,509","58,315",221,205,173,16
Projota,"1,614,104,415","1,410,182,701","926,675,695","203,921,714","355,238","284,032","202,955","71,206",114,102,70,12
Twista,"1,615,626,654","892,859,164","82,353,668","722,767,490","575,501","370,151","26,544","205,350",257,186,49,71
Zola,"1,617,349,728","1,593,583,990","1,161,140,446","23,765,738","596,392","577,991","374,878","18,401",83,80,64,3
NATHY PELUSO,"1,617,720,826","826,339,289","756,135,545","791,381,537","734,890","362,744","272,655","372,146",74,64,50,10
Murda,"1,618,785,780","1,183,193,715","280,736,440","435,592,065","366,613","238,991","48,633","127,622",138,75,31,63
Theory of a Deadman,"1,618,831,051","1,617,624,485","1,593,805,455","1,206,566","387,973","387,783","384,696",190,125,123,119,2
